iter	RMSE
0	25.21013468
1	23.50495158
2	22.02451844
3	20.7351079
4	19.60108087
5	18.62964192
6	17.78909822
7	17.0702331
8	16.46465079
9	15.9448679
10	15.51187305
11	15.14538419
12	14.83453667
13	14.57492441
14	14.35591879
15	14.17224415
16	14.01880742
17	13.89188366
18	13.78605937
19	13.69481108
20	13.61892961
21	13.55589487
22	13.50359279
23	13.46025
24	13.42248417
25	13.39273526
26	13.36959422
27	13.34621518
28	13.32712544
29	13.31216844
30	13.29799013
31	13.28629242
32	13.27613098
33	13.26763459
34	13.26088926
35	13.25453895
36	13.24882184
37	13.24301057
38	13.23819902
39	13.23396015
40	13.23006042
41	13.22688942
42	13.22412019
43	13.22239643
44	13.2202453
45	13.21682179
46	13.21377481
47	13.21118382
48	13.2096325
49	13.20735675
50	13.20547335
51	13.20403444
52	13.20297045
53	13.20163234
54	13.20059106
55	13.1989516
56	13.19724819
57	13.196133
58	13.19506506
59	13.19379618
60	13.19295135
61	13.19222423
62	13.1911087
63	13.19042454
64	13.19004061
65	13.18889989
66	13.18820306
67	13.18769269
68	13.18660514
69	13.18593284
70	13.18486
71	13.1839195
72	13.18293318
73	13.18174507
74	13.18091387
75	13.17994305
76	13.17917712
77	13.17831646
78	13.17698768
79	13.17639607
80	13.17592005
81	13.17532968
82	13.17447601
83	13.17372081
84	13.17312517
85	13.17241389
86	13.17151185
87	13.1709553
88	13.17033904
89	13.16984769
90	13.16919412
91	13.16863447
92	13.16817252
93	13.16775115
94	13.16663705
95	13.16570073
96	13.16493083
97	13.16435107
98	13.16349198
99	13.16284757
100	13.16164944
101	13.16138448
102	13.16083993
103	13.16042549
104	13.15998151
105	13.15946752
106	13.15864631
107	13.1577983
108	13.1571076
109	13.15656773
110	13.15589873
111	13.15547892
112	13.15457123
113	13.15448334
114	13.15394164
115	13.15320101
116	13.1528595
117	13.15248756
118	13.15231562
