iter	MultiClass
0	1.945036593
1	1.944141385
2	1.943549919
3	1.943016741
4	1.942510822
5	1.942156492
6	1.941830153
7	1.941547072
8	1.941251004
9	1.941046116
10	1.940890902
11	1.940635569
12	1.94039109
13	1.940142814
14	1.939970938
15	1.939941209
16	1.939792564
17	1.939594555
18	1.939460848
19	1.939293929
20	1.93906712
21	1.938994214
22	1.938830111
23	1.938723752
24	1.938601615
25	1.938535028
26	1.93844053
27	1.938293001
28	1.938204749
29	1.938099932
30	1.938021085
31	1.937981963
32	1.937868985
33	1.937764838
34	1.937704801
35	1.937610772
36	1.937510791
37	1.937440275
38	1.937314452
39	1.937217748
40	1.937167405
41	1.937039783
42	1.936928459
43	1.936864959
44	1.936807686
45	1.936684649
46	1.936579558
47	1.936544591
48	1.936507736
49	1.936471896
50	1.936382193
51	1.936294096
52	1.936229475
53	1.936175339
54	1.936135012
55	1.936096172
56	1.936016145
57	1.935942866
58	1.935905405
59	1.935854741
60	1.935848602
61	1.935785793
62	1.935701283
63	1.935686756
64	1.935613096
65	1.935599576
66	1.935537407
67	1.935513982
68	1.93551373
69	1.935512577
70	1.935449593
71	1.935442019
72	1.935377345
73	1.935352589
74	1.935260162
75	1.935194612
76	1.935092826
77	1.93506685
78	1.935003744
79	1.934969328
80	1.934955844
81	1.934881331
82	1.934850776
83	1.934796026
84	1.934765624
85	1.934723449
86	1.934717059
87	1.934706124
88	1.934659705
89	1.93463324
90	1.934544106
91	1.934488547
92	1.93443481
93	1.934420983
94	1.93440651
95	1.934398311
96	1.934353696
97	1.934308369
98	1.93422636
99	1.934164858
100	1.934095152
101	1.934059589
102	1.933987786
103	1.933974957
104	1.93395785
105	1.933941441
106	1.933938276
107	1.933863593
108	1.933846879
109	1.933793167
110	1.933771172
111	1.93375536
112	1.933687613
113	1.933650284
114	1.933600639
115	1.933571671
116	1.933503142
117	1.933444205
118	1.933361036
119	1.933305322
120	1.93330078
121	1.933236415
122	1.933219819
123	1.933199803
124	1.933159916
125	1.933058976
126	1.933029046
127	1.933015647
128	1.932993042
129	1.932918057
130	1.932838123
131	1.93274713
132	1.93271375
133	1.932633603
134	1.932599841
135	1.932550025
136	1.932508343
137	1.9324553
138	1.932403029
139	1.93231292
140	1.932243834
141	1.932146534
142	1.932058422
143	1.93199295
144	1.931911333
145	1.931829547
146	1.931734669
147	1.931631772
148	1.931548766
149	1.931458573
150	1.931376075
151	1.931301691
152	1.931209148
153	1.931112641
154	1.931024041
155	1.930937347
156	1.930865529
157	1.930775385
158	1.93069406
159	1.93060693
160	1.930524098
161	1.930439528
162	1.930363401
163	1.930263386
164	1.930166556
165	1.930091205
166	1.930010485
167	1.929927543
168	1.929840829
169	1.92976736
170	1.929677627
171	1.929599314
172	1.929527701
173	1.929465683
174	1.92938682
175	1.929306682
176	1.929227096
177	1.929152314
178	1.929063104
179	1.928976268
180	1.928907573
181	1.928821574
182	1.928743838
183	1.928661247
184	1.928579846
185	1.928512435
186	1.928441848
187	1.928359697
188	1.928283251
189	1.928213352
190	1.928149432
191	1.928071839
192	1.927990333
193	1.927919359
194	1.927850994
195	1.927803122
196	1.927724628
197	1.927649135
198	1.927577286
199	1.927512966
200	1.927437469
201	1.927358449
202	1.92728113
203	1.92722311
204	1.927145412
205	1.927073331
206	1.926994225
207	1.926920777
208	1.926858686
209	1.926793117
210	1.926721588
211	1.926652984
212	1.926576879
213	1.926497535
214	1.926417678
215	1.926344958
216	1.926281737
217	1.926213792
218	1.926147789
219	1.926089324
220	1.926019816
221	1.925948462
222	1.925884173
223	1.925808501
224	1.925749749
225	1.925690178
226	1.92562249
227	1.925559626
228	1.925493677
229	1.925413259
230	1.925339859
231	1.92526682
232	1.925196644
233	1.925121037
234	1.925048577
235	1.924986496
236	1.924920164
237	1.924851615
238	1.924810285
239	1.924741459
240	1.924674586
241	1.924615258
242	1.924549944
243	1.924502155
244	1.924439493
245	1.924383655
246	1.924316368
247	1.924255108
248	1.924191907
249	1.924137176
250	1.924085236
251	1.923991563
252	1.923924826
253	1.923857068
254	1.923788318
255	1.923724287
256	1.923673232
257	1.923615487
258	1.923590258
259	1.923529251
260	1.923458379
261	1.92340376
262	1.923351831
263	1.923284467
264	1.923218391
265	1.923163214
266	1.923099607
267	1.923043472
268	1.922980802
269	1.922941188
270	1.922870287
271	1.922847688
272	1.922781745
273	1.922721854
274	1.922657655
275	1.922593441
