iter	Passed	Remaining
0	1351	674289
1	3141	782296
2	4125	683529
3	5674	703614
4	7250	717804
5	8131	669471
6	9367	659734
7	10917	671402
8	12615	688223
9	13868	679571
10	15100	671295
11	16855	685449
12	18627	697796
13	20559	713714
14	22037	712555
15	22725	687437
16	24101	684772
17	25395	680039
18	26878	680438
19	28529	684700
20	30201	688877
21	31694	688640
22	33311	690856
23	34867	691539
24	36653	696418
25	38400	700067
26	40147	703323
27	41883	706027
28	43492	706371
29	45240	708769
30	47011	711241
31	48252	705687
32	49996	707521
33	51495	705797
34	52995	704079
35	54604	703793
36	56263	704048
37	58064	705943
38	59777	706605
39	61576	708124
40	63024	705566
41	64707	705616
42	66441	706139
43	67918	703882
44	69385	701563
45	71425	704936
46	73290	706393
47	74752	703923
48	76128	700695
49	77691	699219
50	79330	698418
51	81131	698979
52	82605	696687
53	84243	695791
54	85692	693326
55	87125	690781
56	88826	690349
57	90333	688406
58	91606	684721
59	92869	681040
60	93484	672785
61	95012	671220
62	96899	672147
63	98138	668565
64	99810	667963
65	100964	663915
66	102538	662671
67	104065	661119
68	104550	653060
69	105274	646685
70	107028	646692
71	108123	642732
72	110043	643680
73	111284	640636
74	113103	640917
75	114777	640338
76	116758	641416
77	118298	640027
78	119789	638373
79	121652	638676
80	123138	636977
81	124685	635590
82	126343	634764
83	127890	633362
84	129102	630326
85	130346	627482
86	131403	623787
87	132668	621129
88	134036	618975
89	135671	618060
90	137591	618405
91	139203	617336
92	140642	615499
93	141931	613023
94	143227	610602
95	144246	607038
96	145670	605208
97	147281	604152
98	148953	603338
99	150513	602055
100	152187	601217
101	153608	599374
102	155329	598697
103	156626	596383
104	157810	593669
105	159102	591380
106	160107	588058
107	161685	586859
108	162707	583655
109	164337	582649
110	165692	580669
111	167060	578746
112	168710	577797
113	170339	576763
114	171878	575420
115	173303	573693
116	174864	572418
117	176553	571555
118	177881	569519
119	179459	568289
120	180024	563877
121	181498	562346
122	182521	559436
123	183568	556628
124	184869	554608
125	186502	553586
126	187749	551423
127	189013	549320
128	190333	547393
129	192146	546877
130	193722	545677
131	195341	544587
132	196821	543109
133	198323	541689
134	199831	540285
135	201392	539020
136	202837	537444
137	204023	535193
138	205485	533671
139	207432	533398
140	209050	532262
141	210837	531549
142	212436	530348
143	214095	529291
144	215707	528111
145	217361	527028
146	219125	526199
147	220814	525180
148	222622	524433
149	224407	523616
150	226120	522623
151	227822	521594
152	229540	520591
153	231382	519859
154	233389	519478
155	235286	518836
156	237079	517949
157	238780	516854
158	240600	516004
159	242363	515022
160	244048	513866
161	245809	512862
162	247577	511862
163	249350	510864
164	251303	510221
165	253029	509107
166	254774	508023
167	256594	507080
168	258283	505869
169	260051	504805
170	261854	503801
171	263518	502524
172	265143	501166
173	266866	499990
174	268370	498402
175	270113	497254
176	272007	496374
177	273766	495241
178	275543	494130
179	277471	493283
180	279288	492226
181	281113	491176
182	283013	490247
183	284882	489255
184	286754	488257
185	288952	487801
186	291048	487155
187	293180	486555
188	295317	485945
189	297292	485056
190	299363	484309
191	301433	483549
192	303092	482120
193	305090	481225
194	307052	480262
195	308903	479115
196	310646	477795
197	312325	476375
198	314024	474981
199	315741	473611
200	317454	472233
201	319433	471244
202	321302	470082
203	323182	468931
204	324872	467498
205	326661	466206
206	328490	464965
207	330236	463601
208	332163	462485
209	334129	461416
210	336087	460328
211	337991	459157
212	339913	458005
213	341723	456695
214	343792	455724
215	345585	454380
216	347439	453111
217	349367	451934
218	351217	450648
219	353010	449286
220	354915	448060
221	356661	446630
222	358424	445217
223	360339	443990
224	361876	442293
225	363652	440887
226	365631	439724
227	367637	438584
228	369300	437033
229	371213	435772
230	373211	434605
231	375023	433216
232	376920	431921
233	378601	430375
234	380553	429134
235	382591	427983
236	384564	426753
237	386671	425663
238	388809	424599
239	390921	423498
240	392743	422076
241	394528	420613
242	396502	419345
243	398448	418044
244	400413	416756
245	402537	415628
246	404645	414475
247	406571	413129
248	408692	411975
249	410915	410915
250	412961	409670
251	415118	408528
252	417144	407251
253	419370	406162
254	421450	404923
255	423426	403578
256	425255	402089
257	427189	400696
258	428953	399141
259	430917	397770
260	432823	396340
261	434798	394970
262	436958	393761
263	438729	392197
264	440646	390761
265	442449	389222
266	444448	387852
267	446431	386462
268	448431	385084
269	450263	383557
270	452195	382113
271	453810	380399
272	455444	378702
273	457517	377368
274	459456	375919
275	461165	374279
276	462573	372396
277	464293	370766
278	466084	369192
279	467520	367337
280	469154	365639
281	471025	364126
282	472402	362230
283	474072	360562
284	475574	358766
285	476825	356785
286	478271	354954
287	479897	353257
288	481552	351583
289	483332	349999
290	485074	348387
291	486737	346717
292	488390	345040
293	490174	343455
294	491525	341568
295	493206	339912
296	494855	338234
297	496592	336616
298	498311	334985
299	499966	333311
300	501751	331722
301	503597	330173
302	505519	328670
303	507279	327061
304	509103	325492
305	510773	323824
306	512160	321977
307	513711	320235
308	515329	318536
309	516475	316549
310	518247	314947
311	519827	313229
312	521545	311594
313	523279	309967
314	524815	308225
315	526325	306467
316	527846	304718
317	529594	303101
318	531271	301442
319	532941	299779
320	534546	298080
321	535851	296216
322	537512	294550
323	539089	292838
324	540721	291157
325	542460	289533
326	544183	287901
327	546178	286410
328	547907	284778
329	549710	283183
330	551339	281499
331	553096	279880
332	554732	278199
333	556214	276441
334	557914	274793
335	559634	273154
336	561290	271484
337	563011	269845
338	564802	268239
339	566507	266591
340	568144	264912
341	569884	263280
342	571669	261667
343	573325	259996
344	574933	258303
345	576266	256488
346	578041	254871
347	579640	253176
348	581451	251573
349	583200	249943
350	584804	248250
351	586385	246548
352	588333	244999
353	590259	243440
354	592012	241808
355	593769	240176
356	595491	238530
357	597267	236904
358	598892	235219
359	600660	233590
360	602356	231932
361	604245	230347
362	606135	228761
363	607532	226990
364	609094	225281
365	610754	223609
366	612147	221840
367	613964	220226
368	615646	218562
369	617414	216929
370	618900	215197
371	620808	213611
372	622404	211917
373	624110	210261
374	625866	208622
375	627377	206901
376	629088	205246
377	630651	203543
378	632312	201872
379	634096	200241
380	635788	198579
381	637503	196925
382	639275	195287
383	640985	193631
384	642761	191993
385	644464	190334
386	645838	188578
387	647726	186972
388	649444	185317
389	651038	183626
390	652662	181944
391	654397	180293
392	656088	178629
393	657767	176962
394	659549	175323
395	661210	173651
